Metric,Custom CNN,EfficientNetB0,MobileNetV2,Best Model
Accuracy,0.8233082706766918,0.25,0.806390977443609,Custom CNN
Precision,0.826414325666219,0.0625,0.8243755408880925,Custom CNN
Recall,0.8233082706766918,0.25,0.806390977443609,Custom CNN
F1 Score,0.8234825950023231,0.1,0.8021339156105122,Custom CNN
Balanced Accuracy,0.8233082706766918,0.25,0.8063909774436091,Custom CNN
Sensitivity,0.8233082706766918,0.25,0.8063909774436091,Custom CNN
Specificity,0.9411027568922306,0.75,0.9354636591478696,Custom CNN
Positive Predictive Value,0.8264143256662189,0.0625,0.8243755408880925,Custom CNN
Negative Predictive Value,0.9412908780150966,0.5625,0.9386626780855184,Custom CNN
ROC AUC,0.9480609418282548,0.450086682872595,0.9573840616579041,MobileNetV2
Log Loss,0.49968825799831945,1.3863315493345008,0.5651909021963916,Custom CNN
Matthews Correlation Coefficient,0.7652948422097926,0.0,0.7504633421136305,Custom CNN
Cohen Kappa,0.7644110275689223,0.0,0.7418546365914787,Custom CNN
Avg Inference Time (ms/image),63.59922988721016,83.35722593975314,16.921662406022556,MobileNetV2
Total Evaluation Time (s),33.8347902999958,44.346044199948665,9.002324400004,MobileNetV2
Avg Prediction Confidence,0.7709779739379883,0.2522144913673401,0.6825947165489197,Custom CNN
Parameters,44398148.0,4378535.0,2422468.0,Custom CNN
Trainable Parameters,44398148.0,328964.0,1846020.0,Custom CNN
Model Size (MB),508.13755798339844,17.159210205078125,23.72093963623047,EfficientNetB0
